Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086018,2023,08,27,12.9
IDCJAC0016,086018,2023,08,28,13.4
IDCJAC0016,086018,2023,08,29,7.7
IDCJAC0016,086018,2023,08,30,7.9
IDCJAC0016,086018,2023,08,31,10.3
IDCJAC0016,086018,2023,09,01,11.5
IDCJAC0016,086018,2023,09,02,16.1
IDCJAC0016,086018,2023,09,03,16.3
IDCJAC0016,086018,2023,09,04,9.7
IDCJAC0016,086018,2023,09,05,12.2
IDCJAC0016,086018,2023,09,06,16.6
IDCJAC0016,086018,2023,09,07,14.3
IDCJAC0016,086018,2023,09,08,6.7
IDCJAC0016,086018,2023,09,09,14.8
IDCJAC0016,086018,2023,09,10,11.8
IDCJAC0016,086018,2023,09,11,17.4
IDCJAC0016,086018,2023,09,12,17.7
IDCJAC0016,086018,2023,09,13,17.7
IDCJAC0016,086018,2023,09,14,16.9
IDCJAC0016,086018,2023,09,15,18.2
IDCJAC0016,086018,2023,09,16,18.8
IDCJAC0016,086018,2023,09,17,17.8
IDCJAC0016,086018,2023,09,18,12.7
IDCJAC0016,086018,2023,09,19,15.6
IDCJAC0016,086018,2023,09,20,10.8
IDCJAC0016,086018,2023,09,21,17.2
IDCJAC0016,086018,2023,09,22,16.5
IDCJAC0016,086018,2023,09,23,19.9
IDCJAC0016,086018,2023,09,24,20.3
IDCJAC0016,086018,2023,09,25,19.3
IDCJAC0016,086018,2023,09,26,19.6
IDCJAC0016,086018,2023,09,27,18.9
IDCJAC0016,086018,2023,09,28,19.8
IDCJAC0016,086018,2023,09,29,21.2
IDCJAC0016,086018,2023,09,30,21.3
IDCJAC0016,086018,2023,10,01,19.8
IDCJAC0016,086018,2023,10,02,21.7
IDCJAC0016,086018,2023,10,03,4.4
IDCJAC0016,086018,2023,10,04,7.8
IDCJAC0016,086018,2023,10,05,10.5
IDCJAC0016,086018,2023,10,06,20.8
IDCJAC0016,086018,2023,10,07,10.9
IDCJAC0016,086018,2023,10,08,22.7
IDCJAC0016,086018,2023,10,09,19.4
IDCJAC0016,086018,2023,10,10,16.2
IDCJAC0016,086018,2023,10,11,23.6
IDCJAC0016,086018,2023,10,12,7.8
IDCJAC0016,086018,2023,10,13,12.1
IDCJAC0016,086018,2023,10,14,14.3
IDCJAC0016,086018,2023,10,15,9.7
IDCJAC0016,086018,2023,10,16,20.0
IDCJAC0016,086018,2023,10,17,20.3
IDCJAC0016,086018,2023,10,18,25.0
IDCJAC0016,086018,2023,10,19,24.3
IDCJAC0016,086018,2023,10,20,24.1
IDCJAC0016,086018,2023,10,21,13.6
IDCJAC0016,086018,2023,10,22,6.0
IDCJAC0016,086018,2023,10,23,15.6
IDCJAC0016,086018,2023,10,24,18.6
IDCJAC0016,086018,2023,10,25,17.5
IDCJAC0016,086018,2023,10,26,18.6
IDCJAC0016,086018,2023,10,27,26.6
IDCJAC0016,086018,2023,10,28,20.7
IDCJAC0016,086018,2023,10,29,26.9
IDCJAC0016,086018,2023,10,30,18.0
IDCJAC0016,086018,2023,10,31,22.5
IDCJAC0016,086018,2023,11,01,12.5
IDCJAC0016,086018,2023,11,02,16.8
IDCJAC0016,086018,2023,11,03,15.1
IDCJAC0016,086018,2023,11,04,18.4
IDCJAC0016,086018,2023,11,05,27.4
IDCJAC0016,086018,2023,11,06,23.6
IDCJAC0016,086018,2023,11,07,26.8
IDCJAC0016,086018,2023,11,08,19.1
IDCJAC0016,086018,2023,11,09,19.8
IDCJAC0016,086018,2023,11,10,28.8
IDCJAC0016,086018,2023,11,11,19.4
IDCJAC0016,086018,2023,11,12,26.0
IDCJAC0016,086018,2023,11,13,26.8
IDCJAC0016,086018,2023,11,14,12.2
IDCJAC0016,086018,2023,11,15,25.1
IDCJAC0016,086018,2023,11,16,23.5
IDCJAC0016,086018,2023,11,17,23.3
IDCJAC0016,086018,2023,11,18,27.8
IDCJAC0016,086018,2023,11,19,25.6
IDCJAC0016,086018,2023,11,20,16.0
IDCJAC0016,086018,2023,11,21,17.1
IDCJAC0016,086018,2023,11,22,28.7
IDCJAC0016,086018,2023,11,23,24.5
IDCJAC0016,086018,2023,11,24,14.6
IDCJAC0016,086018,2023,11,25,19.3
IDCJAC0016,086018,2023,11,26,14.1
IDCJAC0016,086018,2023,11,27,16.1
IDCJAC0016,086018,2023,11,28,19.1
IDCJAC0016,086018,2023,11,29,9.5
IDCJAC0016,086018,2023,11,30,14.2
IDCJAC0016,086018,2023,12,01,16.5
IDCJAC0016,086018,2023,12,02,6.8
IDCJAC0016,086018,2023,12,03,27.7
IDCJAC0016,086018,2023,12,04,29.9
IDCJAC0016,086018,2023,12,05,24.8
IDCJAC0016,086018,2023,12,06,30.9
IDCJAC0016,086018,2023,12,07,22.7
IDCJAC0016,086018,2023,12,08,16.7
IDCJAC0016,086018,2023,12,09,3.5
IDCJAC0016,086018,2023,12,10,7.7
IDCJAC0016,086018,2023,12,11,6.5
IDCJAC0016,086018,2023,12,12,27.6
IDCJAC0016,086018,2023,12,13,14.6
IDCJAC0016,086018,2023,12,14,16.8
IDCJAC0016,086018,2023,12,15,31.2
IDCJAC0016,086018,2023,12,16,21.8
IDCJAC0016,086018,2023,12,17,32.1
IDCJAC0016,086018,2023,12,18,6.8
IDCJAC0016,086018,2023,12,19,15.2
IDCJAC0016,086018,2023,12,20,28.6
IDCJAC0016,086018,2023,12,21,31.7
IDCJAC0016,086018,2023,12,22,31.8
IDCJAC0016,086018,2023,12,23,32.3
IDCJAC0016,086018,2023,12,24,26.5
IDCJAC0016,086018,2023,12,25,5.5
IDCJAC0016,086018,2023,12,26,16.7
IDCJAC0016,086018,2023,12,27,27.5
IDCJAC0016,086018,2023,12,28,16.7
IDCJAC0016,086018,2023,12,29,30.6
IDCJAC0016,086018,2023,12,30,20.6
IDCJAC0016,086018,2023,12,31,31.4
