Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,087113,2023,03,07,14.7
IDCJAC0016,087113,2023,03,08,15.5
IDCJAC0016,087113,2023,03,09,16.0
IDCJAC0016,087113,2023,03,10,18.6
IDCJAC0016,087113,2023,03,11,20.7
IDCJAC0016,087113,2023,03,12,15.4
IDCJAC0016,087113,2023,03,13,20.8
IDCJAC0016,087113,2023,03,14,16.5
IDCJAC0016,087113,2023,03,15,13.6
IDCJAC0016,087113,2023,03,16,17.5
IDCJAC0016,087113,2023,03,17,20.1
IDCJAC0016,087113,2023,03,18,16.6
IDCJAC0016,087113,2023,03,19,9.6
IDCJAC0016,087113,2023,03,20,18.4
IDCJAC0016,087113,2023,03,21,6.9
IDCJAC0016,087113,2023,03,22,16.7
IDCJAC0016,087113,2023,03,23,12.8
IDCJAC0016,087113,2023,03,24,17.3
IDCJAC0016,087113,2023,03,25,14.1
IDCJAC0016,087113,2023,03,26,11.1
IDCJAC0016,087113,2023,03,27,4.8
IDCJAC0016,087113,2023,03,28,11.4
IDCJAC0016,087113,2023,03,29,11.5
IDCJAC0016,087113,2023,03,30,9.6
IDCJAC0016,087113,2023,03,31,12.0
IDCJAC0016,087113,2023,04,01,11.7
IDCJAC0016,087113,2023,04,02,12.7
IDCJAC0016,087113,2023,04,03,16.7
IDCJAC0016,087113,2023,04,04,16.3
IDCJAC0016,087113,2023,04,05,7.2
IDCJAC0016,087113,2023,04,06,9.4
IDCJAC0016,087113,2023,04,07,7.8
IDCJAC0016,087113,2023,04,08,12.3
IDCJAC0016,087113,2023,04,09,6.8
IDCJAC0016,087113,2023,04,10,9.9
IDCJAC0016,087113,2023,04,11,14.2
IDCJAC0016,087113,2023,04,12,7.9
IDCJAC0016,087113,2023,04,13,14.0
IDCJAC0016,087113,2023,04,14,13.8
IDCJAC0016,087113,2023,04,15,4.1
IDCJAC0016,087113,2023,04,16,9.8
IDCJAC0016,087113,2023,04,17,8.2
IDCJAC0016,087113,2023,04,18,11.7
IDCJAC0016,087113,2023,04,19,8.7
IDCJAC0016,087113,2023,04,20,10.4
IDCJAC0016,087113,2023,04,21,6.8
IDCJAC0016,087113,2023,04,22,5.9
IDCJAC0016,087113,2023,04,23,11.7
IDCJAC0016,087113,2023,04,24,13.4
IDCJAC0016,087113,2023,04,25,12.2
IDCJAC0016,087113,2023,04,26,12.9
IDCJAC0016,087113,2023,04,27,6.8
IDCJAC0016,087113,2023,04,28,7.1
IDCJAC0016,087113,2023,04,29,12.0
IDCJAC0016,087113,2023,04,30,12.6
IDCJAC0016,087113,2023,05,01,10.3
IDCJAC0016,087113,2023,05,02,9.3
IDCJAC0016,087113,2023,05,03,8.1
IDCJAC0016,087113,2023,05,04,6.8
IDCJAC0016,087113,2023,05,05,8.7
IDCJAC0016,087113,2023,05,06,7.2
IDCJAC0016,087113,2023,05,07,9.0
IDCJAC0016,087113,2023,05,08,10.4
IDCJAC0016,087113,2023,05,09,10.0
IDCJAC0016,087113,2023,05,10,7.9
IDCJAC0016,087113,2023,05,11,11.2
